売立日,品目コード,品目名称,品種コード,品種名称,色,等級,階級,仕立,本立,長さ,輪数,サイズ,入数,口数,単価,金額,ケース,鉢素材,荷受NO,産地コード1,産地コード2,産地名称1,産地名称2,せり台,販売区分,花商コード,花商枝番
20211210,1,輪菊,53244,神馬,白,優特,,,,,,0,200,1,80,16000,ﾀﾞﾝﾎﾞｰﾙ1,,81055,40555,17,福岡県全農福岡県本部,ＪＡ福岡八女八女,0,先取,259,0
20211210,1,輪菊,53244,神馬,白,Ｌ,曲,,,,,0,200,3,80,48000,ﾀﾞﾝﾎﾞｰﾙ1,,84210,ﾔｰ279,,福岡県ﾔｰ279,大隈博行,0,先取,259,0
20211210,1,輪菊,53244,神馬,白,優,２Ｌ,,,,,0,80,4,80,25600,ﾀﾞﾝﾎﾞｰﾙ1,,84678,43259,,熊本県,上村正次,0,先取,259,0
20211210,1,輪菊,53244,神馬,白,優,Ｌ,,,,,0,100,1,70,7000,ﾀﾞﾝﾎﾞｰﾙ1,,84679,43259,,熊本県,上村正次,0,先取,259,0
20211210,1,輪菊,53244,神馬,白,秀,Ｌ,,,90CM,,0,200,1,75,15000,ﾀﾞﾝﾎﾞｰﾙ1,,85286,40587,2,長崎県（株）九州大田花き,九州大田諌干ﾄﾞﾘｰﾑ,0,先取,259,0
20211210,1,輪菊,82070,精の一世,白,特,,,,,,0,200,1,70,14000,ﾀﾞﾝ3,,85430,ﾔｰ610,,福岡県ﾔｰ610,八女電照菊部会06-01,0,先取,259,0
20211210,3,ｽﾌﾟﾚｰﾏﾑ,13984,ﾒﾄﾞｰGﾓﾅﾘｻﾞﾋﾟﾝｸ,桃,,,,,,,0,100,2,50,10000,ﾀﾞﾝﾎﾞｰﾙ1,,84043,40132,,マレーシア,星日産業株式会社,W,先取,259,2
20211210,3,ｽﾌﾟﾚｰﾏﾑ,57789,ﾓﾅﾘｻﾞﾀﾞｰｸ,桃,ｴｸｽﾄﾗ,,,,70CM,,0,100,1,40,4000,ﾀﾞﾝﾎﾞｰﾙ1,,83947,13096,,ベトナム,グリーンウィングスＪ,W,先取,259,5
20211210,3,ｽﾌﾟﾚｰﾏﾑ,61878,ﾓﾅﾘｻﾞﾋﾟﾝｸ,桃,,,,,75CM,,0,160,1,40,6400,ﾀﾞﾝ3,,83647,43041,,マレーシア,ザッパージャパン,W,先取,259,5
20211210,5,ﾊﾞﾗ,60794,ﾌﾞﾙｺﾞｰﾆｭ,白,,,,,60CM,,0,30,1,100,3000,ELF,,82278,ｷｰ680,ｷｰ134,福岡県ＪＡ福岡市北崎花き共ｷｰ134,高橋三千年,0,予対,259,4
20211210,5,ﾊﾞﾗ,82334,ｱﾏﾀﾞ+,赤,優,,,,80CM,,0,25,1,220,5500,ﾊﾞｹｯﾄ,,81699,ﾔｰ140,,福岡県ﾔｰ140,角温美,0,予対,259,50
20211210,5,ﾊﾞﾗ,84115,ｻﾑﾗｲ'08,赤,,,,,60CM,,0,30,1,120,3600,ﾀﾃﾊﾞｺ,,82077,ﾕｰ800,ｾｰ012,ケニア,株式会社クラシック,0,予対,259,0
